account_id,account_name,account_domain,account_created_source,account_status,industry,segment,employee_band,estimated_employee_count,annual_revenue_band,country,subregion,region,territory_id,owner_rep_id,account_fit_score,account_fit_tier,data_quality_score,data_quality_tier,domain_quality,account_issue_type,account_dq_root_cause,created_date
ACC_000001,HarborPoint Labs 739 Ltd,harborpointlabs739.co.uk,seed_existing,customer,Healthcare,Enterprise,"5,001-10,000",9715,$250M-$1B,United Kingdom,UKI,EMEA,UKI,REP_UKI_02,82,high,100,excellent,valid_business_domain,clean,none,2024-03-28
ACC_000002,Northstar Energy Inc,northstarenergy.com,created_from_converted_lead,prospect,Financial Services,Commercial,201-500,315,<$10M,United States,North America,AMER,AMER_COMM,REP_AMER_COMM_04,62,medium,100,excellent,valid_business_domain,clean,none,2025-04-30
ACC_000003,CloudPeak Technologies 428 Ltd,cloudpeaktechnologies428.co.uk,seed_existing,customer,Financial Services,Commercial,201-500,303,$50M-$250M,United Kingdom,UKI,EMEA,UKI,REP_UKI_03,61,medium,100,excellent,valid_business_domain,clean,none,2023-02-17
ACC_000004,Atlas Robotics 251 Ltd,atlasrobotics251.ca,seed_existing,customer,Technology,Mid-Market,201-500,343,$50M-$250M,Canada,North America,AMER,AMER_MM,REP_AMER_MM_06,84,high,100,excellent,valid_business_domain,clean,none,2024-02-25
ACC_000005,Silverline Systems GmbH,silverlinesystems.de,seed_existing,prospect,Financial Services,Commercial,201-500,425,<$10M,Germany,DACH,EMEA,DACH,REP_DACH_01,58,medium,100,excellent,valid_business_domain,clean,none,2023-07-15
ACC_000006,Quantum Software,quantumsoftware.com,seed_existing,target_account,Financial Services,Commercial,51-200,158,$50M-$250M,United States,North America,AMER,AMER_COMM,REP_AMER_COMM_08,73,medium,100,excellent,valid_business_domain,clean,none,2023-01-01
ACC_000007,Stonebridge DataWorks 305 Ltd,stonebridgedataworks305.ca,created_from_converted_lead,former_customer,Manufacturing,Commercial,51-200,166,$10M-$50M,Canada,North America,AMER,AMER_COMM,REP_AMER_COMM_06,35,low,100,excellent,valid_business_domain,clean,none,2025-03-23
ACC_000008,Silverline Group 698 Inc,silverlinegroup698.com,seed_existing,prospect,Technology,Commercial,201-500,227,$10M-$50M,United States,North America,AMER,AMER_COMM,REP_AMER_COMM_04,60,medium,100,excellent,valid_business_domain,clean,none,2023-06-17
ACC_000009,Redvale Industries 443 Pvt Ltd,redvaleindustries443.in,seed_existing,customer,Financial Services,Commercial,201-500,249,$10M-$50M,,,,,,58,medium,45,poor,valid_business_domain,intl_no_rep_missing_country,missing_country_prevented_region_and_territory_assignment,2025-01-30
ACC_000010,Kestrel Education 225,,seed_existing,prospect,Technology,Mid-Market,"501-1,000",925,$1B-$5B,Brazil,LATAM,AMER,LATAM,REP_LATAM_02,62,medium,80,partial,missing_domain,domain_problem_only,domain_quality_issue_affects_lead_to_account_matching,2023-03-24
ACC_000011,Northstar DataWorks LLC,northstardataworks.com,seed_existing,prospect,Retail,Enterprise,"10,001+",49235,$250M-$1B,United States,North America,AMER,AMER_ENT,REP_AMER_ENT_03,84,high,100,excellent,valid_business_domain,clean,none,2025-09-04
ACC_000012,Silverline Education,silverlineeducation.com,seed_existing,customer,Manufacturing,,,,,United States,North America,AMER,,,63,medium,45,poor,valid_business_domain,us_no_rep_missing_segmentation,missing_employee_count_and_segment_prevented_territory_assignment,2025-12-07
ACC_000013,Vertex Robotics 515,vertexrobotics515.in,seed_existing,customer,Financial Services,Commercial,51-200,186,$50M-$250M,India,India,APJ,INDIA,REP_INDIA_01,77,high,100,excellent,valid_business_domain,clean,none,2023-12-14
ACC_000014,Silverline Industries 231 LLC,silverlineindustries231.com,seed_existing,target_account,Technology,Commercial,1-50,14,$10M-$50M,United States,North America,AMER,AMER_COMM,REP_AMER_COMM_02,79,high,100,excellent,valid_business_domain,clean,none,2024-06-16
ACC_000015,Vector Energy 740,vectorenergy740.nl,seed_existing,customer,Logistics,Mid-Market,"501-1,000",990,$1B-$5B,Netherlands,France/Benelux,EMEA,FR_BENELUX,REP_FRBNLX_02,77,high,100,excellent,valid_business_domain,clean,none,2024-11-12
ACC_000016,Helio Security,heliosecurity.co.id,seed_existing,customer,Manufacturing,Commercial,51-200,200,<$10M,Indonesia,SEA,APJ,SEA,REP_SEA_01,59,medium,100,excellent,valid_business_domain,clean,none,2024-10-08
ACC_000017,Vector Solutions 199,,seed_existing,prospect,Retail,Mid-Market,"1,001-5,000",3548,$1B-$5B,Germany,DACH,EMEA,DACH,REP_DACH_02,71,medium,80,partial,missing_domain,domain_problem_only,domain_quality_issue_affects_lead_to_account_matching,2023-01-30
ACC_000018,Nova Financial 442 Ltd,novafinancial442.ca,seed_existing,prospect,Manufacturing,Commercial,51-200,79,<$10M,Canada,North America,AMER,AMER_COMM,REP_AMER_COMM_05,63,medium,100,excellent,valid_business_domain,clean,none,2025-12-09
ACC_000019,Silverline Financial 857,silverlinefinancial857.com,seed_existing,prospect,Telecommunications,Mid-Market,"1,001-5,000",4153,$250M-$1B,United States,North America,AMER,AMER_MM,REP_AMER_MM_06,70,medium,100,excellent,valid_business_domain,clean,none,2025-10-21
ACC_000020,Redvale Security 347 Ltd,kestrelhealth506.sg,seed_existing,prospect,Energy,Commercial,51-200,66,$50M-$250M,United Kingdom,UKI,EMEA,UKI,REP_UKI_01,58,medium,90,good,duplicate_domain,domain_problem_only,domain_quality_issue_affects_lead_to_account_matching,2024-06-17
ACC_000021,Nova Security 888,novasecurity888.co.jp,seed_existing,customer,Healthcare,Mid-Market,"1,001-5,000",2337,$50M-$250M,Japan,Japan/Korea,APJ,JAPAN_KOREA,REP_JPKR_02,74,medium,100,excellent,valid_business_domain,clean,none,2024-08-30
ACC_000022,Apex Systems 614,apexsystems614.de,seed_existing,prospect,Retail,Commercial,201-500,392,<$10M,Germany,DACH,EMEA,DACH,REP_DACH_02,50,medium,100,excellent,valid_business_domain,clean,none,2023-07-06
ACC_000023,Nova Logistics 535 LLC,,seed_existing,prospect,Financial Services,Commercial,201-500,221,$10M-$50M,United States,North America,AMER,AMER_COMM,REP_AMER_COMM_02,62,medium,80,partial,missing_domain,domain_problem_only,domain_quality_issue_affects_lead_to_account_matching,2025-03-31
ACC_000024,Nova Robotics 874 AB,novarobotics874.se,seed_existing,prospect,Retail,Commercial,201-500,318,$50M-$250M,Sweden,Nordics,EMEA,NORDICS,REP_NORDICS_01,53,medium,100,excellent,valid_business_domain,clean,none,2024-07-17
ACC_000025,Helio Education SAS,helioeducation.fr,created_from_converted_lead,prospect,Healthcare,Commercial,201-500,440,<$10M,France,France/Benelux,EMEA,FR_BENELUX,REP_FRBNLX_03,76,high,100,excellent,valid_business_domain,clean,none,2023-11-08
ACC_000026,Crescent Networks 675 Inc,crescentnetworks675.com,seed_existing,prospect,Technology,Commercial,1-50,5,$50M-$250M,United States,North America,AMER,AMER_COMM,REP_AMER_COMM_07,52,medium,100,excellent,valid_business_domain,clean,none,2023-12-03
ACC_000027,Pinnacle Group 825 Inc,pinnaclegroup825.com,created_from_converted_lead,prospect,Logistics,Commercial,201-500,311,<$10M,United States,North America,AMER,AMER_COMM,REP_AMER_COMM_02,65,medium,100,excellent,valid_business_domain,clean,none,2023-03-31
ACC_000028,Brightfield Technologies 938,brightfieldtechnologies938.com.au,seed_existing,prospect,Energy,Mid-Market,"5,001-10,000",5019,$250M-$1B,Australia,ANZ,APJ,ANZ,REP_ANZ_02,61,medium,100,excellent,valid_business_domain,clean,none,2025-05-14
ACC_000029,Silverline Analytics 981 Pty Ltd,silverlineanalytics981.com.au,seed_existing,prospect,Financial Services,Commercial,51-200,149,<$10M,Australia,ANZ,APJ,ANZ,REP_ANZ_02,72,medium,100,excellent,valid_business_domain,clean,none,2023-03-10
ACC_000030,Summit Logistics 173 BV,summitlogistics173.nl,seed_existing,prospect,Public Sector,Enterprise,"1,001-5,000",1317,$5B+,Netherlands,France/Benelux,EMEA,FR_BENELUX,REP_FRBNLX_01,62,medium,100,excellent,valid_business_domain,clean,none,2024-09-09
ACC_000031,CloudPeak Networks 106 GmbH,cloudpeaknetworks106.de,seed_existing,former_customer,Financial Services,Mid-Market,"5,001-10,000",6405,$50M-$250M,Germany,DACH,EMEA,DACH,REP_DACH_03,68,medium,100,excellent,valid_business_domain,clean,none,2025-06-11
ACC_000032,Atlas DataWorks 965 Inc,atlasdataworks965.com,seed_existing,prospect,Healthcare,Commercial,1-50,27,$10M-$50M,United States,North America,AMER,AMER_COMM,REP_AMER_COMM_05,61,medium,100,excellent,valid_business_domain,clean,none,2023-02-27
ACC_000033,Kestrel Industries 338 SAS,kestrelindustries338.fr,seed_existing,prospect,Energy,Commercial,51-200,83,<$10M,,,,,,42,low,45,poor,valid_business_domain,intl_no_rep_missing_country,missing_country_prevented_region_and_territory_assignment,2023-06-16
ACC_000034,Brightfield Networks 458,brightfieldnetworks458.co.jp,seed_existing,prospect,Financial Services,Commercial,1-50,12,$50M-$250M,Japan,Japan/Korea,APJ,JAPAN_KOREA,REP_JPKR_01,76,high,100,excellent,valid_business_domain,clean,none,2025-04-15
ACC_000035,Vertex Software,vertexsoftware.com,seed_existing,customer,Healthcare,Mid-Market,"501-1,000",918,$250M-$1B,United States,North America,AMER,AMER_MM,REP_AMER_MM_02,67,medium,100,excellent,valid_business_domain,clean,none,2025-06-22
ACC_000036,Redvale Software 144,redvalesoftware144.com.au,created_from_converted_lead,prospect,Retail,Commercial,51-200,167,<$10M,,,,,,51,medium,45,poor,valid_business_domain,intl_no_rep_missing_country,missing_country_prevented_region_and_territory_assignment,2023-03-30
ACC_000037,Pinnacle Labs 219,pinnaclelabs219.sg,seed_existing,prospect,Technology,Enterprise,"5,001-10,000",5405,$1B-$5B,Singapore,SEA,APJ,SEA,REP_SEA_01,69,medium,100,excellent,valid_business_domain,clean,none,2023-10-18
ACC_000038,CloudPeak Group 252,cloudpeakgroup252.fr,seed_existing,former_customer,Healthcare,Commercial,"501-1,000",929,$10M-$50M,France,France/Benelux,EMEA,FR_BENELUX,REP_FRBNLX_02,46,low,100,excellent,valid_business_domain,clean,none,2024-10-26
ACC_000039,Vector Networks Inc,vectornetworks.ca,seed_existing,former_customer,Financial Services,Mid-Market,"501-1,000",735,$250M-$1B,Canada,North America,AMER,AMER_MM,REP_AMER_MM_05,63,medium,100,excellent,valid_business_domain,clean,none,2024-08-16
ACC_000040,Signal Education Ltd,signaleducation.ie,seed_existing,prospect,Retail,Commercial,51-200,72,$50M-$250M,Ireland,UKI,EMEA,UKI,REP_UKI_03,45,low,100,excellent,valid_business_domain,clean,none,2024-07-20
ACC_000041,Ironwood Networks LLC,ironwoodnetworks.com,seed_existing,prospect,Technology,Mid-Market,"1,001-5,000",4627,$250M-$1B,United States,North America,AMER,AMER_MM,REP_AMER_MM_03,61,medium,100,excellent,valid_business_domain,clean,none,2023-10-15
ACC_000042,Signal Group 841 SL,signalgroup841.es,seed_existing,prospect,Financial Services,Commercial,201-500,302,$10M-$50M,Spain,Southern Europe,EMEA,SOUTHERN_EUROPE,REP_SEU_02,62,medium,100,excellent,valid_business_domain,clean,none,2024-08-13
ACC_000043,Helio Group 754 Inc,heliogroup754.com,seed_existing,prospect,Education,Mid-Market,201-500,298,$250M-$1B,United States,North America,AMER,AMER_MM,REP_AMER_MM_06,46,low,100,excellent,valid_business_domain,clean,none,2023-02-24
ACC_000044,CloudPeak Technologies 831,cloudpeaktechnologies831.mx,seed_existing,prospect,Technology,Commercial,1-50,8,$10M-$50M,Mexico,LATAM,AMER,LATAM,REP_LATAM_03,63,medium,100,excellent,valid_business_domain,clean,none,2025-08-14
ACC_000045,Nova Education LLC,novaeducation.com,seed_existing,customer,Healthcare,Commercial,51-200,183,<$10M,United States,North America,AMER,AMER_COMM,REP_AMER_COMM_05,66,medium,100,excellent,valid_business_domain,clean,none,2024-08-17
ACC_000046,CloudPeak Manufacturing,cloudpeakmanufacturing.co.jp,seed_existing,prospect,Education,Commercial,201-500,287,<$10M,Japan,Japan/Korea,APJ,JAPAN_KOREA,REP_JPKR_01,30,low,100,excellent,valid_business_domain,clean,none,2024-02-13
ACC_000047,Pinnacle Platform 470,pinnacleplatform470.fr,seed_existing,prospect,Education,Mid-Market,"501-1,000",797,$50M-$250M,France,France/Benelux,EMEA,FR_BENELUX,REP_FRBNLX_01,54,medium,100,excellent,valid_business_domain,clean,none,2024-02-07
ACC_000048,Quantum Education 229 LLC,quantumeducation229.com,seed_existing,prospect,Technology,Commercial,1-50,12,$10M-$50M,United States,North America,AMER,AMER_COMM,REP_AMER_COMM_05,66,medium,100,excellent,valid_business_domain,clean,none,2024-02-10
ACC_000049,Vertex Education 286 Inc,vertexeducation286.com,seed_existing,prospect,Energy,Commercial,201-500,469,<$10M,United States,North America,AMER,AMER_COMM,REP_AMER_COMM_04,47,low,100,excellent,valid_business_domain,clean,none,2024-04-21
ACC_000050,Terra Platform Inc,terraplatform.com,seed_existing,prospect,Education,,,,,United States,North America,AMER,,,62,medium,45,poor,valid_business_domain,us_no_rep_missing_segmentation,missing_employee_count_and_segment_prevented_territory_assignment,2023-07-31
ACC_000051,Ironwood Robotics 431 Pvt Ltd,ironwoodrobotics431.in,seed_existing,prospect,Financial Services,Mid-Market,"501-1,000",752,$50M-$250M,India,India,APJ,INDIA,REP_INDIA_03,73,medium,100,excellent,valid_business_domain,clean,none,2024-10-21
ACC_000052,Apex Analytics 541,apexanalytics541.com,seed_existing,prospect,Education,Mid-Market,"1,001-5,000",2382,$250M-$1B,United States,North America,AMER,AMER_MM,REP_AMER_MM_04,50,medium,100,excellent,valid_business_domain,clean,none,2023-07-21
ACC_000053,Signal Security,signalsecurity.br,seed_existing,prospect,Education,Commercial,201-500,397,<$10M,Brazil,LATAM,AMER,LATAM,REP_LATAM_03,50,medium,100,excellent,valid_business_domain,clean,none,2023-12-10
ACC_000054,Redvale Technologies 815 SpA,redvaletechnologies815.it,seed_existing,prospect,Retail,Mid-Market,"1,001-5,000",2983,$250M-$1B,Italy,Southern Europe,EMEA,SOUTHERN_EUROPE,REP_SEU_02,65,medium,100,excellent,valid_business_domain,clean,none,2025-08-12
ACC_000055,Stonebridge Systems 847 LLC,stonebridgesystems847.com,created_from_converted_lead,customer,Manufacturing,,,,,United States,North America,AMER,,,54,medium,45,poor,valid_business_domain,us_no_rep_missing_segmentation,missing_employee_count_and_segment_prevented_territory_assignment,2024-09-09
ACC_000056,CloudPeak Financial 174 GmbH,cloudpeakfinancial174.de,seed_existing,prospect,Education,Commercial,201-500,403,<$10M,Germany,DACH,EMEA,DACH,REP_DACH_01,48,low,100,excellent,valid_business_domain,clean,none,2025-09-16
ACC_000057,Atlas DataWorks 982,atlasdataworks982.de,seed_existing,prospect,Public Sector,Mid-Market,"501-1,000",514,$50M-$250M,Germany,DACH,EMEA,DACH,REP_DACH_01,67,medium,100,excellent,valid_business_domain,clean,none,2024-12-21
ACC_000058,CloudPeak Logistics 422 Ltd,cobaltsoftware264.co.uk,seed_existing,target_account,Manufacturing,Mid-Market,"501-1,000",912,$250M-$1B,Ireland,UKI,EMEA,UKI,REP_UKI_02,67,medium,90,good,duplicate_domain,domain_problem_only,domain_quality_issue_affects_lead_to_account_matching,2025-05-08
ACC_000059,Signal Systems 593 SL,signalsystems593.es,created_from_converted_lead,customer,Telecommunications,Commercial,201-500,258,$10M-$50M,Spain,Southern Europe,EMEA,SOUTHERN_EUROPE,REP_SEU_01,71,medium,100,excellent,valid_business_domain,clean,none,2023-04-09
ACC_000060,Kestrel Logistics 530 Inc,kestrellogistics530.com,seed_existing,prospect,Education,Mid-Market,"1,001-5,000",2205,$50M-$250M,United States,North America,AMER,AMER_MM,REP_AMER_MM_06,49,low,100,excellent,valid_business_domain,clean,none,2024-07-06
ACC_000061,Ironwood Education 393 PT,ironwoodeducation393.co.id,seed_existing,prospect,Energy,Commercial,51-200,116,$10M-$50M,Indonesia,SEA,APJ,SEA,REP_SEA_02,55,medium,100,excellent,valid_business_domain,clean,none,2024-01-19
ACC_000062,Evergreen Networks Inc,,seed_existing,prospect,Logistics,Commercial,1-50,11,$10M-$50M,United States,North America,AMER,AMER_COMM,REP_AMER_COMM_03,60,medium,80,partial,missing_domain,domain_problem_only,domain_quality_issue_affects_lead_to_account_matching,2023-01-19
ACC_000063,Stonebridge Logistics 449 LLC,stonebridgelogistics449.com,seed_existing,prospect,Technology,Commercial,201-500,483,$10M-$50M,United States,North America,AMER,AMER_COMM,REP_AMER_COMM_07,43,low,100,excellent,valid_business_domain,clean,none,2023-04-09
ACC_000064,Terra Robotics 109,terrarobotics109.in,seed_existing,target_account,Technology,Mid-Market,"1,001-5,000",4914,$250M-$1B,India,India,APJ,INDIA,REP_INDIA_02,76,high,100,excellent,valid_business_domain,clean,none,2023-07-28
ACC_000065,Clearpath Networks 422,clearpathnetworks422.in,seed_existing,prospect,Manufacturing,Enterprise,"5,001-10,000",5779,$1B-$5B,India,India,APJ,INDIA,REP_INDIA_03,74,medium,100,excellent,valid_business_domain,clean,none,2023-01-08
ACC_000066,Vertex Platform 480 LLC,vertexplatform480.com,seed_existing,prospect,Healthcare,Commercial,51-200,99,$10M-$50M,United States,North America,AMER,AMER_COMM,REP_AMER_COMM_08,64,medium,100,excellent,valid_business_domain,clean,none,2024-04-24
ACC_000067,Northstar Retail 219 Inc,northstarretail219.com,seed_existing,prospect,Manufacturing,Mid-Market,201-500,312,$250M-$1B,United States,North America,AMER,AMER_MM,REP_AMER_MM_08,60,medium,100,excellent,valid_business_domain,clean,none,2023-02-26
ACC_000068,Silverline Retail 593 PT,silverlineretail593.co.id,seed_existing,prospect,Telecommunications,Commercial,"501-1,000",836,$10M-$50M,Indonesia,SEA,APJ,SEA,REP_SEA_01,53,medium,100,excellent,valid_business_domain,clean,none,2025-06-22
ACC_000069,Terra Financial 544 GmbH,terrafinancial544.de,seed_existing,prospect,Logistics,Mid-Market,"1,001-5,000",3392,$50M-$250M,Germany,DACH,EMEA,DACH,REP_DACH_02,69,medium,100,excellent,valid_business_domain,clean,none,2024-10-11
ACC_000070,Signal Software 234 Inc,signalsoftware234.ca,seed_existing,prospect,Healthcare,Enterprise,"5,001-10,000",8390,$5B+,,,,,,74,medium,45,poor,valid_business_domain,intl_no_rep_missing_country,missing_country_prevented_region_and_territory_assignment,2025-11-21
ACC_000071,Signal Financial 614,signalfinancial614.com,seed_existing,prospect,Education,Commercial,51-200,55,<$10M,United States,North America,AMER,AMER_COMM,REP_AMER_COMM_08,54,medium,100,excellent,valid_business_domain,clean,none,2023-04-03
ACC_000072,Atlas Robotics LLC,atlasrobotics.com,seed_existing,target_account,Technology,,,,,United States,North America,AMER,,,83,high,45,poor,valid_business_domain,us_no_rep_missing_segmentation,missing_employee_count_and_segment_prevented_territory_assignment,2023-03-29
